	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
0	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
1	716	ZP-AlwaysWin	2019-09-10 03:50:15	2019-09-11 01:01:06		replace 200 with http.StatusOK		@qq.com	
2	682	dependabot[bot]	2019-07-14 14:15:23	2019-07-15 11:30:11		Bump lodash from 4.17.5 to 4.17.13 in /docs/book			
3	673	FujiHaruka	2019-07-02 14:37:12	2019-07-07 05:30:35		Fix broken link in the kubectl book			realglobe-Inc
4	658	d-kuro	2019-05-23 18:08:09	2019-05-23 21:14:21	2019-05-23 21:14:21	Fix patchesJson6902 example patch file.	@quipper 	@gmail.com	
5	657	d-kuro	2019-05-21 08:51:44	2019-05-23 21:12:22	2019-05-23 21:12:22	Remove unnecessary space.	@quipper 	@gmail.com	
6	655	seans3	2019-05-16 23:00:58	2019-05-28 22:08:04	2019-05-28 22:08:04	Clear entire kubectl repo before turning on staging publishing bot	Google	@google.com	google,GoogleCloudPlatform
7	619	seans3	2019-03-21 23:48:38	2019-03-21 23:58:19	2019-03-21 23:58:19	Adds kubectl logo to repository	Google	@google.com	google,GoogleCloudPlatform
8	541	seans3	2018-09-26 18:32:07	2018-09-28 20:16:15	2018-09-28 20:16:15	Adds initial required SECURITY_CONTACTS file	Google	@google.com	google,GoogleCloudPlatform
9	516	seans3	2018-07-31 22:47:19	2018-09-20 10:11:29		[WIP] Kubectl main out of core repo with vendored dependencies	Google	@google.com	google,GoogleCloudPlatform
10	482	seans3	2018-05-10 00:27:15	2018-05-10 15:05:51	2018-05-10 15:05:50	Add owners section for subproject owners	Google	@google.com	google,GoogleCloudPlatform
11	328	seans3	2018-02-27 23:31:42	2018-02-28 22:58:56	2018-02-28 22:58:56	Simplified Loader.New() to always take a directory	Google	@google.com	google,GoogleCloudPlatform
12	327	seans3	2018-02-27 20:43:57	2018-02-27 21:30:48	2018-02-27 21:30:48	Update FakeLoader for simpler interface; FakeLoader uses real Loader	Google	@google.com	google,GoogleCloudPlatform
13	323	seans3	2018-02-26 23:45:43	2018-02-27 00:45:46	2018-02-27 00:45:46	Move fake loader into its own package; Update loader test	Google	@google.com	google,GoogleCloudPlatform
14	317	seans3	2018-02-24 00:50:29	2018-02-26 23:26:04	2018-02-26 23:26:04	Refactor Loader interface	Google	@google.com	google,GoogleCloudPlatform
15	315	seans3	2018-02-22 23:41:57	2018-02-23 17:23:48	2018-02-23 17:23:47	Refactor Loader interface	Google	@google.com	google,GoogleCloudPlatform
16	312	seans3	2018-02-21 23:05:09	2018-02-21 23:08:40	2018-02-21 23:08:40	First pass at Application abstraction with unimplemented methods	Google	@google.com	google,GoogleCloudPlatform
17	294	seans3	2018-02-15 21:04:16	2018-02-15 21:43:39	2018-02-15 21:43:39	New structure: ManifestError	Google	@google.com	google,GoogleCloudPlatform
18	289	seans3	2018-02-14 22:55:39	2018-02-14 23:09:51	2018-02-14 23:09:51	Checkpoint toward better kinflate error messages.	Google	@google.com	google,GoogleCloudPlatform
19	280	seans3	2018-02-13 00:58:21	2018-02-13 21:08:51	2018-02-13 21:08:51	More specific error messages for missing/bad manifest file	Google	@google.com	google,GoogleCloudPlatform
20	259	seans3	2018-02-06 19:57:02	2018-02-06 23:40:45	2018-02-06 23:40:45	Kinflate add secret tls command.	Google	@google.com	google,GoogleCloudPlatform
21	257	seans3	2018-02-06 18:34:10	2018-02-06 19:44:17	2018-02-06 19:44:17	Kinflate add generic secret command.	Google	@google.com	google,GoogleCloudPlatform
22	252	seans3	2018-02-05 18:59:58	2018-02-08 18:29:52		WIP: Kinflate addConfigMap	Google	@google.com	google,GoogleCloudPlatform
23	202	seans3	2018-01-09 22:48:47	2018-07-18 03:57:52		Initial install	Google	@google.com	google,GoogleCloudPlatform
24	653	tariq1890	2019-05-10 21:50:46	2019-05-16 22:45:44		migrate to go modules	@Mulesoft		deis,kubernetes,kubernetes-sigs
25	649	pwittrock	2019-05-02 00:54:00	2019-05-02 16:50:23	2019-05-02 16:50:23	Copy feedback form to each page	Google		google,kubernetes
26	647	pwittrock	2019-04-23 00:25:19	2019-04-30 21:46:58	2019-04-30 21:46:58	Add reference documentation for Kustomize in Kubectl	Google		google,kubernetes
27	641	pwittrock	2019-04-12 20:42:29	2019-04-12 20:49:52	2019-04-12 20:49:52	Update docs to clarify namespace overrides	Google		google,kubernetes
28	638	pwittrock	2019-04-04 14:44:31	2019-04-04 14:49:42	2019-04-04 14:49:42	Book: update labeling recommendations	Google		google,kubernetes
29	621	pwittrock	2019-03-25 16:28:19	2019-03-25 16:28:30	2019-03-25 16:28:30	Fix examples	Google		google,kubernetes
30	620	pwittrock	2019-03-22 23:32:52	2019-03-23 00:06:29	2019-03-23 00:06:29	Kubectl Book Final Edits	Google		google,kubernetes
31	618	pwittrock	2019-03-20 20:33:05	2019-03-22 17:48:50	2019-03-22 17:48:50	Address Doc Feedback	Google		google,kubernetes
32	617	pwittrock	2019-03-19 16:39:52	2019-03-19 16:56:27	2019-03-19 16:56:27	kubectl book: Fix exec examples caused by bad refactoring	Google		google,kubernetes
33	616	pwittrock	2019-03-18 19:51:33	2019-03-18 20:12:21	2019-03-18 20:12:21	GitBook: Update structure titles	Google		google,kubernetes
34	612	pwittrock	2019-03-14 22:19:49	2019-03-14 23:52:57	2019-03-14 23:52:57	kubectl book - add `newName` function	Google		google,kubernetes
35	610	pwittrock	2019-03-14 17:16:14	2019-03-14 17:48:29	2019-03-14 17:48:29	Refine App Composition and Deployment guidelines	Google		google,kubernetes
36	609	pwittrock	2019-03-13 15:46:33	2019-03-13 18:33:40	2019-03-13 18:33:40	GitBook: Refine App Composition and Deployment guidelines	Google		google,kubernetes
37	608	pwittrock	2019-03-13 00:39:11	2019-03-13 15:09:36	2019-03-13 15:09:36	Kubectl Book: Add Favicon and clean wording	Google		google,kubernetes
38	591	pwittrock	2019-02-26 02:09:03	2019-03-12 20:42:40	2019-03-12 20:42:40	Refine Kubectl GitBook	Google		google,kubernetes
39	579	pwittrock	2019-01-28 18:47:34	2019-01-28 19:29:24	2019-01-28 19:29:24	Update Kubectl GitBook	Google		google,kubernetes
40	561	pwittrock	2018-11-12 20:07:46	2018-11-12 20:22:10	2018-11-12 20:22:10	Remove node_modules from GitBook	Google		google,kubernetes
41	559	pwittrock	2018-11-12 04:39:40	2018-11-12 19:57:07	2018-11-12 19:57:07	Kubectl Book	Google		google,kubernetes
42	179	pwittrock	2017-12-14 19:34:10	2018-05-07 02:49:04		ktl proposal	Google		google,kubernetes
43	106	pwittrock	2017-10-25 23:27:47	2017-10-26 22:50:33	2017-10-26 22:50:33	Create issue_backlog.md	Google		google,kubernetes
44	85	pwittrock	2017-10-18 19:46:17	2017-10-18 19:46:26	2017-10-18 19:46:26	Add items to Maintainers tasks	Google		google,kubernetes
45	82	pwittrock	2017-10-18 16:56:26	2017-10-18 19:22:13	2017-10-18 19:22:13	Write guide for maintainers sustaining engineering tasks.	Google		google,kubernetes
46	13	pwittrock	2017-05-18 17:07:49	2017-05-18 17:39:37	2017-05-18 17:39:37	Add issue template for kubectl repo	Google		google,kubernetes
47	1	pwittrock	2017-03-30 20:27:45	2017-03-30 20:53:29	2017-03-30 20:53:29	Initial repo boilerplate	Google		google,kubernetes
48	648	abhi-396	2019-04-26 11:10:10	2019-04-26 12:21:19		My Kubernets pul.			
49	645	anmoel	2019-04-18 09:39:00	2019-04-22 16:09:46	2019-04-22 16:09:46	fix typo in JSON Path Symbols Table	@datadrivers 		
