	number	user_login	created_at	closed_at	merged_at	title
0	716	ZP-AlwaysWin	2019-09-10 03:50:15	2019-09-11 01:01:06		replace 200 with http.StatusOK
1	682	dependabot[bot]	2019-07-14 14:15:23	2019-07-15 11:30:11		Bump lodash from 4.17.5 to 4.17.13 in /docs/book
2	673	FujiHaruka	2019-07-02 14:37:12	2019-07-07 05:30:35		Fix broken link in the kubectl book
3	658	d-kuro	2019-05-23 18:08:09	2019-05-23 21:14:21	2019-05-23 21:14:21	Fix patchesJson6902 example patch file.
4	657	d-kuro	2019-05-21 08:51:44	2019-05-23 21:12:22	2019-05-23 21:12:22	Remove unnecessary space.
5	655	seans3	2019-05-16 23:00:58	2019-05-28 22:08:04	2019-05-28 22:08:04	Clear entire kubectl repo before turning on staging publishing bot
6	653	tariq1890	2019-05-10 21:50:46	2019-05-16 22:45:44		migrate to go modules
7	649	pwittrock	2019-05-02 00:54:00	2019-05-02 16:50:23	2019-05-02 16:50:23	Copy feedback form to each page
8	648	abhi-396	2019-04-26 11:10:10	2019-04-26 12:21:19		My Kubernets pul.
9	647	pwittrock	2019-04-23 00:25:19	2019-04-30 21:46:58	2019-04-30 21:46:58	Add reference documentation for Kustomize in Kubectl
10	645	anmoel	2019-04-18 09:39:00	2019-04-22 16:09:46	2019-04-22 16:09:46	fix typo in JSON Path Symbols Table
11	643	abhishekjiitr	2019-04-15 21:16:11	2019-04-22 16:07:46	2019-04-22 16:07:45	Fix Invalid DNS ConfigMap Name
12	641	pwittrock	2019-04-12 20:42:29	2019-04-12 20:49:52	2019-04-12 20:49:52	Update docs to clarify namespace overrides
13	640	soltysh	2019-04-11 18:43:57	2019-04-11 19:36:46	2019-04-11 19:36:46	Update lodash to address CVE-2018-16487
14	638	pwittrock	2019-04-04 14:44:31	2019-04-04 14:49:42	2019-04-04 14:49:42	Book: update labeling recommendations
15	636	mikeraimondi	2019-04-01 15:20:52	2019-04-02 15:08:37	2019-04-02 15:08:37	fix typo
16	635	chrisz100	2019-03-28 11:43:25	2019-03-28 15:52:45	2019-03-28 15:52:45	replaced Conainer with Container
17	634	Rio	2019-03-28 10:56:16	2019-04-22 17:17:46	2019-04-22 17:17:46	feat(docs): add section on environment style configmap/secret generation
18	633	chrisz100	2019-03-28 10:53:35	2019-03-28 15:50:47	2019-03-28 15:50:47	Fixed a typo in field merge semantics
19	630	Rio	2019-03-28 09:40:36	2019-03-28 15:48:47	2019-03-28 15:48:47	fix(docs): Fix typo and command reference
20	626	BenHall	2019-03-26 10:28:19	2019-04-22 16:05:45	2019-04-22 16:05:45	Dockerfile for GitBook
21	624	jonas	2019-03-26 03:32:20	2019-03-29 16:06:13	2019-03-29 16:06:13	Remove cp examples from the port-forward page
22	621	pwittrock	2019-03-25 16:28:19	2019-03-25 16:28:30	2019-03-25 16:28:30	Fix examples
23	620	pwittrock	2019-03-22 23:32:52	2019-03-23 00:06:29	2019-03-23 00:06:29	Kubectl Book Final Edits
24	619	seans3	2019-03-21 23:48:38	2019-03-21 23:58:19	2019-03-21 23:58:19	Adds kubectl logo to repository
25	618	pwittrock	2019-03-20 20:33:05	2019-03-22 17:48:50	2019-03-22 17:48:50	Address Doc Feedback
26	617	pwittrock	2019-03-19 16:39:52	2019-03-19 16:56:27	2019-03-19 16:56:27	kubectl book: Fix exec examples caused by bad refactoring
27	616	pwittrock	2019-03-18 19:51:33	2019-03-18 20:12:21	2019-03-18 20:12:21	GitBook: Update structure titles
28	612	pwittrock	2019-03-14 22:19:49	2019-03-14 23:52:57	2019-03-14 23:52:57	kubectl book - add `newName` function
29	611	soltysh	2019-03-14 22:03:11	2019-03-14 22:17:32	2019-03-14 22:17:32	Various fixes
30	610	pwittrock	2019-03-14 17:16:14	2019-03-14 17:48:29	2019-03-14 17:48:29	Refine App Composition and Deployment guidelines
31	609	pwittrock	2019-03-13 15:46:33	2019-03-13 18:33:40	2019-03-13 18:33:40	GitBook: Refine App Composition and Deployment guidelines
