	issue	user_login	created_at	author_association	comment
0	2	jbeda	2014-06-06 23:58:07	CONTRIBUTOR	"@brendandburns original filed.
"
1	1	jbeda	2014-06-06 23:58:24	CONTRIBUTOR	"@brendandburns originally filed.
"
2	2	brendandburns	2014-06-07 06:43:24	CONTRIBUTOR	"Added a check for go being installed.
"
3	9	proppy	2014-06-07 09:25:19	CONTRIBUTOR	"Yes, currently it's always:

```
            ""currentState"": {
                ""manifest"": {
                    ""version"": """",
                    ""volumes"": null,
                    ""containers"": null
                },
                ""host"": ""kubernetes-minion-...""
            }
```
"
4	17	brendandburns	2014-06-08 05:04:22	CONTRIBUTOR	"build/test/integration-test/e2e-test all pass.
"
5	19	proppy	2014-06-08 06:04:40	CONTRIBUTOR	"On Sat, Jun 7, 2014 at 10:35 PM, Joe Beda notifications@github.com wrote:

> Right now we use salt to distribute and start most of the server
> components for the master. As we support build and deployment from a local
> Mac, we don't pre-compile the go scripts but instead ship the source code
> to the nodes (with salt) and compile at install time.
> 
> Instead, we should do the following:
> - Only support building on a linux machine with docker installed.
>   Perhaps support local development on a mac with a local linux VM
> 
> We could link to docker instruction about boot2docker:
> http://docs.docker.io/installation/mac/
> - Package each server component up as a Docker image, built with a
>   Dockerfile
>   - We should support uploading these Docker images to either the
>     public index or a GCS backed index with google/docker-registry
>     https://index.docker.io/u/google/docker-registry/.
>     - Use the kubelet to run/health check the components. This means the
>       kubelet will manage a set of static tasks on each machine (including the
>       master) and a set of dynamic tasks.
> - The only task that shouldn't run under the docker should be the
>   kubelet itself. We may have to hack in something for (network mode = host)
>   for the proxy.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/GoogleCloudPlatform/kubernetes-new/issues/19.

## 

Johan Euphrosine (proppy)
Developer Programs Engineer
Google Developer Relations
"
6	8	jbeda	2014-06-08 15:05:39	CONTRIBUTOR	"@brendandburns put in a 2 min wait here and that may be good enough for now.  See: #18.  But we should really do something more robust so leaving this bug open.
"
7	26	jbeda	2014-06-09 04:23:16	CONTRIBUTOR	"Looks reasonable to me. My guess is that unit test coverage here gets lower :/
"
8	30	brendandburns	2014-06-09 06:01:13	CONTRIBUTOR	"build/unit test/integration test/e2e tests pass.
"
9	43	lavalamp	2014-06-10 19:03:25	MEMBER	"Thank you for this fix! Can you please sign a CLA so we can accept it? Instructions are in CONTRIB.md. Thanks!
"
10	45	brendandburns	2014-06-10 19:54:22	CONTRIBUTOR	"Thank you for this fix! Can you please sign a CLA so we can accept it? Instructions are in CONTRIB.md. Thanks!
"
11	45	whiteinge	2014-06-10 19:56:32	CONTRIBUTOR	"Ah, I missed that. Done and done.
"
12	45	lavalamp	2014-06-10 20:01:01	MEMBER	"Thanks! I see your CLA in the list now.
"
13	48	lavalamp	2014-06-10 21:09:02	MEMBER	"Thank you for this fix! Can you please sign a CLA so we can accept it? Instructions are in CONTRIB.md. Thanks!
"
14	50	brendandburns	2014-06-10 22:04:32	CONTRIBUTOR	"The integration test binary is pretty close.  It'd be pretty simple to glue
in the kubelet to that binary.

Brendan
On Jun 10, 2014 2:53 PM, ""Daniel Smith"" notifications@github.com wrote:

> It would be great to have an easy way to run a kubernetes master/minion
> locally. Currently, it's not that easy to set up. We should have a
> convenient script to make it work.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/GoogleCloudPlatform/kubernetes/issues/50.
"
15	49	lavalamp	2014-06-10 22:07:18	MEMBER	"Thanks for the change!
"
